theme,ts_code,name,weight,notes
lithium,000792.SZ,盐湖股份,1,seed example
lithium,002460.SZ,赣锋锂业,1,seed example
lithium,002466.SZ,天齐锂业,1,seed example
copper,601899.SH,紫金矿业,1,seed example
copper,600362.SH,江西铜业,1,seed example
copper,000630.SZ,铜陵有色,1,seed example
coal,601088.SH,中国神华,1,seed example
coal,601225.SH,陕西煤业,1,seed example
solar,601012.SH,隆基绿能,1,seed example
solar,300274.SZ,阳光电源,1,seed example
steel,600019.SH,宝钢股份,1,seed example
fertilizer,600096.SH,云天化,1,seed example
oil,600028.SH,中国石化,1,seed example
oil,601857.SH,中国石油,1,seed example
