ts_code,theme,chain_segment,listed_company_role,demand_certainty,bottleneck_strength,value_capture,exposure_confidence,competition_risk,substitution_risk,thesis_note,key_risk
600406.SH,电力系统扩容,电网自动化与保护控制,电网调度保护和自动化平台,5,5,5,5,2,2,电力系统复杂度上升时控制保护层不可缺少且认证和系统替换成本较高,客户集中和电网投资节奏
000400.SZ,电力系统扩容,电网自动化与特高压,保护控制和直流输电设备,5,4,4,5,2,2,直接暴露于主网升级且产品需要长期验证,大客户集中和项目周期
000682.SZ,电力系统扩容,配电自动化,配电和用电侧自动化系统,5,4,4,4,3,2,配电网数字化可受益于分布式能源和负荷波动增加,竞争格局及地方项目回款
002028.SZ,电力系统扩容,输变电设备,一次设备和电力电子产品,5,4,4,5,2,2,产品组合覆盖关键输配电节点且存在认证壁垒,估值及订单周期
002270.SZ,电力系统扩容,变压器关键部件,有载分接开关,5,5,5,5,2,2,小部件决定变压器可靠运行且客户更换供应商成本高,单一环节天花板和海外执行
601179.SH,电力系统扩容,特高压一次设备,变压器和高压开关设备,5,4,3,5,3,2,主网扩容直接需求但大型项目定价和资本效率未必最优,国企效率和项目毛利波动
600312.SH,电力系统扩容,高压开关,高压及特高压开关设备,5,4,4,5,3,2,高电压等级设备验证周期长且直接受益于主网建设,客户集中和招标价格
603606.SH,电力系统扩容,海缆与高压电缆,海底和高压电缆系统,4,4,4,5,3,2,高压海缆制造交付和项目经验形成门槛,海风项目节奏和订单波动
688248.SH,电力系统扩容,电网数字化与检测,电网技术服务和智能设备,5,4,4,4,2,2,新型电力系统需要更多检测控制和数字化能力,客户集中与高估值
600089.SH,电力系统扩容,变压器与材料,输变电设备并含资源业务,5,4,3,3,3,2,变压器需求直接但上市公司利润同时受资源品影响,业务混合导致主题暴露不纯
002179.SZ,物理世界数字化,高可靠连接器,信号和电力连接器,5,5,5,4,2,2,传感后的信号传输同样不可缺少且高可靠场景认证周期长,军工周期和民品竞争
603501.SH,物理世界数字化,图像传感器,CMOS图像传感芯片,5,4,4,5,3,3,机器视觉和汽车感知需要图像采集且规模研发能力重要,半导体周期与高端产品竞争
603662.SH,物理世界数字化,力学传感器,称重和力学传感器,4,4,4,5,3,2,机器人和自动化需要力与重量反馈且行业Know-how可复用,下游分散但价格竞争存在
300007.SZ,物理世界数字化,气体传感器,气体传感器和解决方案,4,4,3,5,3,3,安全环境和工业智能化需要气体感知但方案业务可能稀释器件利润,业务混合和新应用兑现慢
688052.SH,物理世界数字化,模拟信号链,隔离驱动和传感接口芯片,5,4,4,5,4,3,所有传感信号都需调理转换且汽车认证较长,模拟芯片竞争和当前盈利不确定
688322.SH,物理世界数字化,三维视觉,3D视觉传感器和方案,4,4,3,5,4,4,机器人和空间感知有潜在需求但技术路线和商业化尚未收敛,估值极高且利润池未验证
688396.SH,物理世界数字化,MEMS与功率器件制造,晶圆制造和器件平台,5,4,3,4,4,3,本土制造与功率控制有长期需求但重资产容易承受周期压力,资本开支和产能周期
688686.SH,物理世界数字化,机器视觉,工业视觉核心部件和方案,4,4,4,5,3,3,制造业精密检测和自动化需要机器视觉,制造业资本开支周期与估值
688003.SH,物理世界数字化,工业测量与视觉,视觉测量和智能制造装备,4,4,3,5,3,3,高精度制造需要在线测量但项目型业务盈利波动较大,项目交付和客户资本开支
002920.SZ,物理世界数字化,车载计算平台,智能座舱与辅助驾驶域控制器,5,4,4,5,3,3,感知价值可能向融合计算和系统集成层迁移,车企议价和技术路线变化
601766.SH,十五五六网,综合交通网轨交装备,铁路车辆和系统装备,5,3,3,5,3,2,国家综合立体交通网补网强链带来更新和增量需求,大型项目定价和资本回报
688187.SH,十五五六网,轨交控制与功率电子,轨交牵引控制和功率半导体,5,4,4,5,3,2,轨交智能化和国产关键部件形成技术与认证门槛,轨交投资周期和客户集中
601669.SH,十五五六网,现代水网工程,水利水电及基础设施工程,5,3,2,4,4,2,国家水网防洪调水和灌溉建设需求明确但工程利润池偏弱,低毛利项目回款和高资本占用
600283.SH,十五五六网,供水与水务运营,供水资产运营和水务工程,5,3,3,4,2,2,水网完善和供水保障具有长期刚需属性,区域特许期限水价和小市值流动性
600941.SH,十五五六网,信息通信网,移动通信网络和算力服务运营,5,5,4,5,2,2,5G-A万兆光网移动物联网和算力网均需运营网络支撑,资本开支回报和监管定价
601728.SH,十五五六网,信息通信与算力网,固定移动通信和云算力运营,5,4,3,5,2,2,通信网与算力基础设施建设直接受益,云算力投入回报和同业竞争
000063.SZ,十五五六网,通信网络设备,运营商网络设备和算力基础设施,5,4,3,5,4,3,5G-A万兆光网和6G演进需要持续设备升级,运营商议价出口限制和技术迭代
000977.SZ,十五五六网,算力服务器,AI和通用服务器设备,5,3,3,5,4,3,全国一体化算力网带来服务器需求但竞争和迭代很快,毛利率库存应收和芯片供应
603019.SH,十五五六网,算力基础设施,高性能计算与数据中心设备,5,4,3,5,4,3,东数西算和多层次算力设施需求直接,估值重复建设和资本回报
600118.SH,十五五六网,卫星制造,小卫星和空间系统研制,4,4,2,5,2,3,民用空间基础设施和低轨卫星组网需求明确但利润兑现不确定,高估值项目周期和现金回款
600879.SH,十五五六网,卫星电子,航天电子产品和系统,4,4,3,5,3,3,卫星通信导航遥感建设需要高可靠电子系统,高估值军品周期和回款
