ts_code,name,moat_type,moat_thesis,replication_barrier,monitoring_signals,invalidation_signals,last_review_date,next_review_date,action_if_intact,action_if_weakened
600519.SH,贵州茅台,产地稀缺与品牌心智,特定产区和酿造生态形成难复制的供给约束；长期品牌认同和社交消费心理支持定价权,产区生态与长期基酒时间无法快速复制；消费者心智和高端社交共识需要数十年积累,直营与批价稳定|高端市场份额|吨价与毛利率|年轻消费群体认知,批价长期倒挂|品牌溢价持续收窄|核心消费群体迁移|渠道库存连续恶化,2026-07-16,2026-10-31,估值仍有安全边际时持有并持续复核,先停止加仓；品牌溢价或渠道健康被证伪时分级减仓
300760.SZ,迈瑞医疗,装机基础与医疗平台协同,医院装机基础；产品平台覆盖和本地服务网络可能形成工作流黏性及交叉销售优势,医疗设备验证周期；售后服务网络；多产品研发和医院使用习惯需要长期建设,高端产品渗透率|海外收入质量|装机与续购|研发效率|毛利率,医院客户显著转向竞争者|高端突破停滞|价格竞争持续侵蚀毛利|海外合规受阻,2026-07-16,2026-10-31,护城河证据与合理估值同时成立时持有,停止加仓；装机黏性或产品平台优势失效时分级减仓
300628.SZ,亿联网络,专业渠道与产品研发效率,企业通信和协作终端的专业渠道；产品迭代与研发效率可能形成细分市场优势,全球渠道关系；协议兼容；产品稳定性和企业客户认证需要时间积累,渠道覆盖|新品收入|海外份额|研发投入产出|毛利率,渠道流失|平台厂商替代终端|新品连续失败|价格竞争显著加剧,2026-07-16,2026-10-31,渠道和产品优势得到原始证据验证后持有,暂停加仓；渠道或产品竞争力恶化时降低仓位
000786.SZ,北新建材,规模成本与渠道标准,石膏板产能布局；渠道覆盖和品牌标准可能形成运输半径内的成本及交付优势,重资产网络；原料协同；区域配送和工程渠道难以短期复制,区域份额|单位成本|产能利用率|现金转化|防水业务整合,新增产能导致价格战|渠道份额下降|成本优势消失|并购业务长期拖累现金流,2026-07-16,2026-10-31,规模成本优势保持且估值合理时持有,停止加仓；成本或渠道优势被证伪时分级减仓
002032.SZ,苏泊尔,品牌渠道与产品体系,炊具和小家电品牌认知；渠道覆盖及与SEB协同的产品体系可能支持稳定份额,品牌信任；线下线上渠道；供应链规模和产品开发体系需要持续投入,品类份额|新品成功率|渠道效率|关联交易质量|毛利率,品牌老化|核心品类份额下降|新品长期乏力|渠道费用侵蚀利润,2026-07-16,2026-10-31,品牌和渠道证据保持时持有,停止加仓；品牌心智或渠道效率持续下降时减仓
603195.SH,公牛集团,品牌心智与渠道网络,民用电工和照明等高频低客单价品类的品牌认知；广泛渠道覆盖及产品质量口碑可能共同支撑消费者选择和稳定份额,消费者对安全与可靠性的长期信任；终端渠道覆盖和陈列关系；产品认证与质量控制体系需要持续投入和时间积累,核心品类份额|终端渠道覆盖与效率|新品类扩张质量|毛利率|经营现金流与存货周转,品牌溢价持续收窄|渠道效率或覆盖显著下降|新品类长期亏损或侵蚀现金流|质量或安全事件损害信任,2026-07-17,2026-10-31,仅在原始证据验证品牌和渠道优势且估值合理时持有,停止加仓；品牌信任或渠道效率被证伪时分级减仓
000651.SZ,格力电器,空调品牌与供应链规模,空调品牌认知；制造供应链和售后服务体系可能支持成本与质量优势,核心零部件能力；经销服务网络；质量口碑和规模采购需要长期积累,空调份额|渠道库存|安装服务质量|多元化回报|现金转化,渠道改革失效|份额持续下降|品牌心智老化|多元化持续消耗资本,2026-07-16,2026-10-31,核心空调优势稳定且资本配置审慎时持有,暂停加仓；份额和渠道优势持续恶化时分级减仓
600941.SH,中国移动,牌照网络与规模效应,稀缺频谱和全国网络；客户规模及云网协同可能形成高固定成本行业的进入壁垒,监管牌照；频谱资源；网络资本投入和客户覆盖无法由新进入者快速复制,移动客户质量|ARPU|云业务现金回报|资本开支效率|自由现金流,监管改变回报机制|ARPU持续下降|云业务只增收不增利|资本开支长期失控,2026-07-16,2026-10-31,作为未来产业种子仓等待利润池和增长证据,证据恶化时降为研究观察或清仓
000400.SZ,许继电气,电网认证与工程经验,电网核心设备的资质认证；长期工程记录和系统适配经验可能形成项目准入壁垒,安全可靠性验证；电网客户认证；工程交付经验和存量系统适配周期较长,电网相关收入|中标份额|合同负债|毛利率|经营现金流,电网收入持续下降|中标份额丢失|应收和现金流恶化|技术路线被替代,2026-07-16,2026-10-31,保持2.5%种子仓并等待收入与现金流共同确认,未解决风险扩大时退出种子仓
600312.SH,平高电气,高压设备认证与工程可靠性,高压开关设备认证；运行可靠性记录和特高压工程经验可能构成项目准入优势,高压设备长期运行验证；电网客户认证；大型工程交付记录难以快速建立,高压业务收入|中标与合同负债|毛利率|经营现金流|应收周转,订单未兑现为现金|经营现金流继续下滑|中标份额下降|替代技术改变需求,2026-07-16,2026-10-31,保持2.5%种子仓并等待订单兑现和现金流修复,现金流或订单证据进一步恶化时退出种子仓
